CONSECUTIVO,COMPRA_CARTERA,EDAD,ACIERTA,QUANTO,ACT_LAB,ANT_DAV,SALDO_DAV_ANT,SALDO_DAV_ACT,CUPO_DAV,ANT_SF,SALDO_SF_ANT,SALDO_SF_ACT,CUPO_SF,NUM_PROD_P1,NUM_PROD_P2,NUM_PROD_P3,NUM_PROD_P4,ENTIDAD_COMPRA
141,1,40.0,888.0,9374.0,E,1.75,15447.15,2001.2,18000.0,7.67,0.0,16943.0,18000.0,0.0,1.0,0.0,0.0,P2
142,0,24.0,723.0,1250.0,E,0.08,2316.0,2410.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
143,1,24.0,722.0,3536.0,I,3.08,2124.44,896.97,2999.0,1.42,29365.0,30261.0,2999.0,0.0,2.0,0.0,0.0,P2
144,1,40.0,634.0,10235.0,E,0.75,35662.52,157.53,0.0,5.75,113805.0,153644.0,0.0,4.0,0.0,1.0,2.0,P1
145,0,60.0,727.0,11974.0,I,0.58,11658.0,12048.0,19399.0,25.25,80364.0,81362.0,19399.0,0.0,6.0,1.0,0.0,
146,0,32.0,661.0,3883.0,E,7.17,2380.0,347.0,2499.0,4.67,56704.0,54455.0,2499.0,0.0,1.0,1.0,1.0,
147,0,40.0,849.0,1722.0,E,0.67,6323.0,6396.0,2199.0,2.25,521.0,521.0,2199.0,0.0,0.0,1.0,0.0,
148,1,40.0,789.0,5647.0,E,13.58,1761.0,5.82,9100.0,12.92,4104.0,5621.0,9100.0,0.0,1.0,1.0,2.0,P4
149,0,40.0,666.0,3006.0,I,17.25,5686.0,5745.0,11259.0,0.0,0.0,0.0,11259.0,0.0,0.0,0.0,0.0,
150,0,32.0,450.0,1714.0,E,1.75,11034.0,11173.0,0.0,3.58,1816.0,2053.0,0.0,0.0,4.0,0.0,0.0,
151,0,50.0,150.0,3577.0,E,9.08,37.0,37.0,499.0,7.08,4687.0,4687.0,499.0,0.0,0.0,2.0,0.0,
152,0,32.0,814.0,5738.0,E,2.75,21830.0,19875.0,13199.0,1.42,463.0,5822.0,13199.0,0.0,2.0,1.0,0.0,
153,0,50.0,769.0,9365.0,E,5.42,47901.0,47341.0,6899.0,23.58,100124.0,100550.0,6899.0,0.0,5.0,0.0,1.0,
154,0,40.0,718.0,1838.0,E,2.67,2491.0,2634.0,0.0,3.92,968.0,1751.0,0.0,0.0,0.0,0.0,3.0,
155,1,50.0,798.0,2525.0,E,2.25,2524.67,889.08,3199.0,8.33,6865.0,10923.0,3199.0,3.0,0.0,0.0,0.0,P1
156,0,70.0,782.0,2840.0,,8.67,15859.0,16396.0,21799.0,0.0,0.0,0.0,21799.0,0.0,0.0,0.0,0.0,
157,1,50.0,739.0,16918.0,E,27.67,9926.58,4802.93,61830.0,12.33,24396.0,30031.0,61830.0,3.0,6.0,0.0,3.0,P2
158,1,40.0,870.0,11908.0,E,13.42,4132.17,436.95,34950.0,7.08,13295.0,17616.0,34950.0,0.0,6.0,1.0,2.0,P2
159,1,40.0,583.0,4074.0,,1.0,7830.76,0.01,8099.0,10.33,31963.0,39945.0,8099.0,0.0,3.0,2.0,3.0,P2
160,0,32.0,335.0,4206.0,E,1.67,7612.0,7612.0,0.0,1.33,3577.0,3496.0,0.0,0.0,0.0,0.0,1.0,
161,0,60.0,793.0,1581.0,I,0.25,4872.0,4686.0,1499.0,0.58,0.0,883.0,1499.0,0.0,0.0,1.0,0.0,
162,1,40.0,842.0,7063.0,I,0.75,14175.95,4566.14,39699.0,1.83,12404.0,18831.0,39699.0,0.0,3.0,0.0,0.0,P2
163,0,32.0,758.0,3378.0,E,2.08,2250.0,3000.0,9999.0,0.25,7464.0,599.0,9999.0,0.0,1.0,0.0,0.0,
164,0,24.0,819.0,1151.0,E,0.83,85.0,154.0,1499.0,0.0,0.0,0.0,1499.0,0.0,0.0,0.0,0.0,
165,0,60.0,872.0,24470.0,E,35.58,13191.0,21148.0,46005.0,21.08,135178.0,151453.0,46005.0,1.0,4.0,1.0,3.0,
166,0,40.0,805.0,2177.0,E,0.0,22981.0,22981.0,199.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,
167,0,32.0,725.0,4562.0,E,3.0,41044.0,41496.0,0.0,2.75,6293.0,6400.0,0.0,1.0,2.0,0.0,0.0,
168,0,50.0,280.0,10111.0,E,12.33,740.0,730.0,799.0,4.42,210002.0,223609.0,799.0,4.0,4.0,1.0,2.0,
169,0,50.0,574.0,2931.0,E,4.92,3031.0,3612.0,0.0,10.92,1741.0,2080.0,0.0,0.0,1.0,0.0,0.0,
170,1,60.0,753.0,2782.0,E,1.58,1485.64,107.39,2499.0,2.5,1382.0,2687.0,2499.0,0.0,3.0,0.0,0.0,P2
171,0,32.0,778.0,5523.0,E,1.17,53335.0,55049.0,35337.0,3.25,172.0,172.0,35337.0,0.0,0.0,1.0,1.0,
172,1,24.0,787.0,2799.0,E,2.67,1961.22,544.87,9999.0,3.75,9780.0,10689.0,9999.0,0.0,1.0,0.0,5.0,P4
173,1,50.0,799.0,5382.0,E,3.0,10575.01,3683.1,11999.0,8.08,20781.0,28868.0,11999.0,0.0,1.0,0.0,3.0,P4
174,1,40.0,867.0,5954.0,E,4.08,2715.8,1109.63,9299.0,3.33,1483.0,3066.0,9299.0,0.0,0.0,0.0,1.0,P4
175,0,40.0,700.0,2194.0,E,1.25,684.0,9493.0,10600.0,0.0,0.0,0.0,10600.0,0.0,0.0,0.0,0.0,
176,0,40.0,818.0,10011.0,E,4.92,22229.0,21842.0,22700.0,5.75,62172.0,3235.0,22700.0,0.0,0.0,0.0,2.0,
177,0,50.0,845.0,3974.0,E,9.33,511.0,573.0,5999.0,10.42,3554.0,5689.0,5999.0,0.0,2.0,2.0,0.0,
178,0,32.0,791.0,3883.0,E,6.83,8675.0,8936.0,9849.0,8.25,2975.0,2995.0,9849.0,0.0,1.0,0.0,0.0,
179,0,40.0,795.0,3817.0,I,12.17,1886.0,1886.0,2299.0,1.92,48756.0,49360.0,2299.0,1.0,3.0,0.0,0.0,
180,1,40.0,899.0,8306.0,E,7.5,1053.06,31.95,19999.0,8.08,59751.0,61103.0,19999.0,0.0,0.0,1.0,3.0,P4
181,0,60.0,763.0,16040.0,I,14.25,101649.0,102322.0,11999.0,11.25,74953.0,81425.0,11999.0,2.0,14.0,0.0,2.0,
182,0,40.0,574.0,2434.0,E,0.92,30638.0,30289.0,3999.0,1.83,1255.0,1255.0,3999.0,0.0,0.0,1.0,0.0,
183,1,60.0,857.0,13589.0,I,10.0,15704.71,1649.27,28000.0,17.5,284804.0,299070.0,28000.0,9.0,6.0,1.0,6.0,P1
184,0,40.0,752.0,1449.0,E,0.5,11766.0,11821.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
185,0,60.0,814.0,16968.0,,0.92,35317.0,36139.0,0.0,10.92,23726.0,23899.0,0.0,2.0,1.0,2.0,3.0,
186,0,50.0,830.0,4720.0,E,3.08,2123.0,1850.0,10937.0,8.08,0.0,0.0,10937.0,0.0,0.0,1.0,0.0,
